province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Thủ đô Hà Nội,Xã Ứng Thiên,Hà Nội,Ứng Thiên,Xã,1,21.0001,105.698,111.0,20.7738,105.759,38.4
Thủ đô Hà Nội,Xã Ứng Hòa,Hà Nội,Ứng Hòa,Xã,1,21.0001,105.698,110.0,20.6888,105.848,67.8
Thủ đô Hà Nội,Xã Hòa Xá,Hà Nội,Hòa Xá,Xã,1,21.0001,105.698,37.0,20.6673,105.79,40.42
Thủ đô Hà Nội,Xã Mỹ Đức,Hà Nội,Mỹ Đức,Xã,1,21.0001,105.698,58.0,20.646,105.692,52.73
Thủ đô Hà Nội,Xã Phúc Sơn,Hà Nội,Phúc Sơn,Xã,1,21.0001,105.698,75.0,20.7809,105.681,49.31
Thủ đô Hà Nội,Xã Hồng Sơn,Hà Nội,Hồng Sơn,Xã,1,21.0001,105.698,43.0,20.7156,105.706,54.38
Thủ đô Hà Nội,Xã Hương Sơn,Hà Nội,Hương Sơn,Xã,1,21.0001,105.698,46.0,20.6192,105.763,69.11
Tỉnh Tuyên Quang,Phường Hà Giang 1,Tuyên Quang,Hà Giang 1,Phường,8,22.4897,105.099,211.0,22.8072,104.935,82.69
Tỉnh Tuyên Quang,Phường Hà Giang 2,Tuyên Quang,Hà Giang 2,Phường,8,22.4897,105.099,212.0,22.8605,104.963,60.62
Tỉnh Tuyên Quang,Xã Ngọc Đường,Tuyên Quang,Ngọc Đường,Xã,8,22.4897,105.099,248.0,22.8101,105.094,98.07
Tỉnh Tuyên Quang,Xã Phố Bảng,Tuyên Quang,Phố Bảng,Xã,8,22.4897,105.099,254.0,23.2231,105.174,77.71
Tỉnh Tuyên Quang,Xã Lũng Cú,Tuyên Quang,Lũng Cú,Xã,8,22.4897,105.099,232.0,23.3241,105.302,95.2
Tỉnh Tuyên Quang,Xã Đồng Văn,Tuyên Quang,Đồng Văn,Xã,8,22.4897,105.099,205.0,23.2568,105.347,122.49
Tỉnh Tuyên Quang,Xã Sà Phìn,Tuyên Quang,Sà Phìn,Xã,8,22.4897,105.099,262.0,23.225,105.245,83.5
Tỉnh Tuyên Quang,Xã Lũng Phìn,Tuyên Quang,Lũng Phìn,Xã,8,22.4897,105.099,233.0,23.1378,105.262,69.46
Tỉnh Tuyên Quang,Xã Yên Minh,Tuyên Quang,Yên Minh,Xã,8,22.4897,105.099,305.0,23.0991,105.139,154.7
Tỉnh Tuyên Quang,Xã Mèo Vạc,Tuyên Quang,Mèo Vạc,Xã,8,22.4897,105.099,236.0,23.1802,105.41,92.21
Tỉnh Tuyên Quang,Xã Sơn Vĩ,Tuyên Quang,Sơn Vĩ,Xã,8,22.4897,105.099,265.0,23.214,105.479,110.62
Tỉnh Tuyên Quang,Xã Sủng Máng,Tuyên Quang,Sủng Máng,Xã,8,22.4897,105.099,266.0,23.1606,105.328,76.15
Tỉnh Tuyên Quang,Xã Khâu Vai,Tuyên Quang,Khâu Vai,Xã,8,22.4897,105.099,222.0,23.1162,105.481,107.46
Tỉnh Tuyên Quang,Xã Tát Ngà,Tuyên Quang,Tát Ngà,Xã,8,22.4897,105.099,275.0,23.09,105.384,90.6
Tỉnh Tuyên Quang,Xã Niêm Sơn,Tuyên Quang,Niêm Sơn,Xã,8,22.4897,105.099,251.0,23.0308,105.431,81.73
Tỉnh Tuyên Quang,Xã Thắng Mố,Tuyên Quang,Thắng Mố,Xã,8,22.4897,105.099,279.0,23.1948,105.116,67.68
Tỉnh Tuyên Quang,Xã Bạch Đích,Tuyên Quang,Bạch Đích,Xã,8,22.4897,105.099,189.0,23.1838,105.03,95.17
Tỉnh Tuyên Quang,Xã Mậu Duệ,Tuyên Quang,Mậu Duệ,Xã,8,22.4897,105.099,235.0,23.0564,105.236,163.31
Tỉnh Tuyên Quang,Xã Ngọc Long,Tuyên Quang,Ngọc Long,Xã,8,22.4897,105.099,249.0,22.99,105.332,84.26
Tỉnh Tuyên Quang,Xã Đường Thượng,Tuyên Quang,Đường Thượng,Xã,8,22.4897,105.099,209.0,22.9901,105.209,103.25
Tỉnh Tuyên Quang,Xã Du Già,Tuyên Quang,Du Già,Xã,8,22.4897,105.099,207.0,22.9154,105.234,126.94
Tỉnh Tuyên Quang,Xã Quản Bạ,Tuyên Quang,Quản Bạ,Xã,8,22.4897,105.099,259.0,23.028,104.978,102.87
Tỉnh Tuyên Quang,Xã Cán Tỷ,Tuyên Quang,Cán Tỷ,Xã,8,22.4897,105.099,199.0,23.1266,105.012,85.13
Tỉnh Tuyên Quang,Xã Nghĩa Thuận,Tuyên Quang,Nghĩa Thuận,Xã,8,22.4897,105.099,247.0,23.1222,104.938,80.12
Tỉnh Tuyên Quang,Xã Tùng Vài,Tuyên Quang,Tùng Vài,Xã,8,22.4897,105.099,295.0,23.0606,104.869,149.98
Tỉnh Tuyên Quang,Xã Lùng Tám,Tuyên Quang,Lùng Tám,Xã,8,22.4897,105.099,234.0,23.0115,105.077,124.14
Tỉnh Tuyên Quang,Xã Phú Linh,Tuyên Quang,Phú Linh,Xã,8,22.4897,105.099,255.0,22.756,105.047,112.37
Tỉnh Tuyên Quang,Xã Vị Xuyên,Tuyên Quang,Vị Xuyên,Xã,8,22.4897,105.099,296.0,22.6941,104.971,80.44
Tỉnh Tuyên Quang,Xã Minh Tân,Tuyên Quang,Minh Tân,Xã,8,22.4897,105.099,240.0,22.9612,104.919,105.7
Tỉnh Tuyên Quang,Xã Thuận Hòa,Tuyên Quang,Thuận Hòa,Xã,8,22.4897,105.099,283.0,22.9243,105.008,45.86
Tỉnh Tuyên Quang,Xã Tùng Bá,Tuyên Quang,Tùng Bá,Xã,8,22.4897,105.099,294.0,22.8961,105.099,120.49
Tỉnh Tuyên Quang,Xã Thanh Thủy,Tuyên Quang,Thanh Thủy,Xã,8,22.4897,105.099,281.0,22.8672,104.864,101.705
Tỉnh Tuyên Quang,Xã Lao Chải,Tuyên Quang,Lao Chải,Xã,8,22.4897,105.099,228.0,22.8549,104.79,157.99
Tỉnh Tuyên Quang,Xã Cao Bồ,Tuyên Quang,Cao Bồ,Xã,8,22.4897,105.099,200.0,22.7574,104.882,111.18
Tỉnh Tuyên Quang,Xã Thượng Sơn,Tuyên Quang,Thượng Sơn,Xã,8,22.4897,105.099,286.0,22.6584,104.835,142.6
Tỉnh Tuyên Quang,Xã Linh Hồ,Tuyên Quang,Linh Hồ,Xã,8,22.4897,105.099,230.0,22.6951,105.096,181.44
Tỉnh Tuyên Quang,Xã Việt Lâm,Tuyên Quang,Việt Lâm,Xã,8,22.4897,105.099,297.0,22.6668,104.907,92.66
Tỉnh Tuyên Quang,Xã Bạch Ngọc,Tuyên Quang,Bạch Ngọc,Xã,8,22.4897,105.099,190.0,22.5885,105.081,72.2
Tỉnh Tuyên Quang,Xã Minh Sơn,Tuyên Quang,Minh Sơn,Xã,8,22.4897,105.099,239.0,22.8496,105.204,81.77
Tỉnh Tuyên Quang,Xã Giáp Trung,Tuyên Quang,Giáp Trung,Xã,8,22.4897,105.099,210.0,22.8059,105.295,73.21
Tỉnh Tuyên Quang,Xã Minh Ngọc,Tuyên Quang,Minh Ngọc,Xã,8,22.4897,105.099,237.0,22.7017,105.218,159.34
Tỉnh Tuyên Quang,Xã Bắc Mê,Tuyên Quang,Bắc Mê,Xã,8,22.4897,105.099,187.0,22.7505,105.33,154.3
Tỉnh Tuyên Quang,Xã Đường Hồng,Tuyên Quang,Đường Hồng,Xã,8,22.4897,105.099,208.0,22.6431,105.44,135.42
Tỉnh Tuyên Quang,Xã Yên Cường,Tuyên Quang,Yên Cường,Xã,8,22.4897,105.099,302.0,22.6782,105.357,116.9
Tỉnh Tuyên Quang,Xã Hoàng Su Phì,Tuyên Quang,Hoàng Su Phì,Xã,8,22.4897,105.099,216.0,22.7245,104.686,86.65
Tỉnh Tuyên Quang,Xã Bản Máy,Tuyên Quang,Bản Máy,Xã,8,22.4897,105.099,192.0,22.7983,104.594,76.17
Tỉnh Tuyên Quang,Xã Thàng Tín,Tuyên Quang,Thàng Tín,Xã,8,22.4897,105.099,280.0,22.7985,104.677,70.78
Tỉnh Tuyên Quang,Xã Tân Tiến,Tuyên Quang,Tân Tiến,Xã,8,22.4897,105.099,272.0,22.7479,104.762,207.2
Tỉnh Tuyên Quang,Xã Pờ Ly Ngài,Tuyên Quang,Pờ Ly Ngài,Xã,8,22.4897,105.099,258.0,22.7068,104.62,49.34
Tỉnh Tuyên Quang,Xã Nậm Dịch,Tuyên Quang,Nậm Dịch,Xã,8,22.4897,105.099,246.0,22.641,104.751,97.78
Tỉnh Tuyên Quang,Xã Hồ Thầu,Tuyên Quang,Hồ Thầu,Xã,8,22.4897,105.099,214.0,22.6054,104.659,136.83
Tỉnh Tuyên Quang,Xã Thông Nguyên,Tuyên Quang,Thông Nguyên,Xã,8,22.4897,105.099,282.0,22.5307,104.748,108.7
Tỉnh Tuyên Quang,Xã Pà Vầy Sủ,Tuyên Quang,Pà Vầy Sủ,Xã,8,22.4897,105.099,253.0,22.6704,104.426,83.3
Tỉnh Tuyên Quang,Xã Xín Mần,Tuyên Quang,Xín Mần,Xã,8,22.4897,105.099,299.0,22.7452,104.512,125.24
Tỉnh Tuyên Quang,Xã Trung Thịnh,Tuyên Quang,Trung Thịnh,Xã,8,22.4897,105.099,292.0,22.6841,104.555,72.11
