province,ward,provinceShort,wardShort,wardType,provinceCode,provinceLat,provinceLon,wardCode,wardLat,wardLon,wardAreaKm2
Tỉnh Tuyên Quang,Xã Minh Sơn,Tuyên Quang,Minh Sơn,Xã,8,22.4897,105.099,982,22.8496,105.204,81.77
Tỉnh Tuyên Quang,Xã Giáp Trung,Tuyên Quang,Giáp Trung,Xã,8,22.4897,105.099,985,22.8059,105.295,73.21
Tỉnh Tuyên Quang,Xã Minh Ngọc,Tuyên Quang,Minh Ngọc,Xã,8,22.4897,105.099,994,22.7017,105.218,159.34
Tỉnh Tuyên Quang,Xã Bắc Mê,Tuyên Quang,Bắc Mê,Xã,8,22.4897,105.099,991,22.7505,105.33,154.3
Tỉnh Tuyên Quang,Xã Đường Hồng,Tuyên Quang,Đường Hồng,Xã,8,22.4897,105.099,1012,22.6431,105.44,135.42
Tỉnh Tuyên Quang,Xã Yên Cường,Tuyên Quang,Yên Cường,Xã,8,22.4897,105.099,1006,22.6782,105.357,116.9
Tỉnh Tuyên Quang,Xã Hoàng Su Phì,Tuyên Quang,Hoàng Su Phì,Xã,8,22.4897,105.099,1021,22.7245,104.686,86.65
Tỉnh Tuyên Quang,Xã Bản Máy,Tuyên Quang,Bản Máy,Xã,8,22.4897,105.099,1024,22.7983,104.594,76.17
Tỉnh Tuyên Quang,Xã Thàng Tín,Tuyên Quang,Thàng Tín,Xã,8,22.4897,105.099,1033,22.7985,104.677,70.78
Tỉnh Tuyên Quang,Xã Tân Tiến,Tuyên Quang,Tân Tiến,Xã,8,22.4897,105.099,1051,22.7479,104.762,207.2
Tỉnh Tuyên Quang,Xã Pờ Ly Ngài,Tuyên Quang,Pờ Ly Ngài,Xã,8,22.4897,105.099,1057,22.7068,104.62,49.34
Tỉnh Tuyên Quang,Xã Nậm Dịch,Tuyên Quang,Nậm Dịch,Xã,8,22.4897,105.099,1075,22.641,104.751,97.78
Tỉnh Tuyên Quang,Xã Hồ Thầu,Tuyên Quang,Hồ Thầu,Xã,8,22.4897,105.099,1084,22.6054,104.659,136.83
Tỉnh Tuyên Quang,Xã Thông Nguyên,Tuyên Quang,Thông Nguyên,Xã,8,22.4897,105.099,1090,22.5307,104.748,108.7
Tỉnh Tuyên Quang,Xã Pà Vầy Sủ,Tuyên Quang,Pà Vầy Sủ,Xã,8,22.4897,105.099,1096,22.6704,104.426,83.3
Tỉnh Tuyên Quang,Xã Xín Mần,Tuyên Quang,Xín Mần,Xã,8,22.4897,105.099,1108,22.7452,104.512,125.24
Tỉnh Tuyên Quang,Xã Trung Thịnh,Tuyên Quang,Trung Thịnh,Xã,8,22.4897,105.099,1117,22.6841,104.555,72.11
Tỉnh Tuyên Quang,Xã Nấm Dẩn,Tuyên Quang,Nấm Dẩn,Xã,8,22.4897,105.099,1141,22.6199,104.509,86.11
Tỉnh Tuyên Quang,Xã Quảng Nguyên,Tuyên Quang,Quảng Nguyên,Xã,8,22.4897,105.099,1144,22.5802,104.57,99.48
Tỉnh Tuyên Quang,Xã Khuôn Lùng,Tuyên Quang,Khuôn Lùng,Xã,8,22.4897,105.099,1147,22.5228,104.493,120.28
Tỉnh Tuyên Quang,Xã Bắc Quang,Tuyên Quang,Bắc Quang,Xã,8,22.4897,105.099,1153,22.4245,104.845,141.93
Tỉnh Tuyên Quang,Xã Vĩnh Tuy,Tuyên Quang,Vĩnh Tuy,Xã,8,22.4897,105.099,1156,22.2474,104.867,115.86
Tỉnh Tuyên Quang,Xã Tân Quang,Tuyên Quang,Tân Quang,Xã,8,22.4897,105.099,1171,22.5408,104.85,174.14
Tỉnh Tuyên Quang,Xã Đồng Tâm,Tuyên Quang,Đồng Tâm,Xã,8,22.4897,105.099,1165,22.5008,104.989,248.8
Tỉnh Tuyên Quang,Xã Liên Hiệp,Tuyên Quang,Liên Hiệp,Xã,8,22.4897,105.099,1192,22.3792,105.04,166.67
Tỉnh Tuyên Quang,Xã Bằng Hành,Tuyên Quang,Bằng Hành,Xã,8,22.4897,105.099,1180,22.4066,104.955,151.72
Tỉnh Tuyên Quang,Xã Hùng An,Tuyên Quang,Hùng An,Xã,8,22.4897,105.099,1201,22.3352,104.823,118.57
Tỉnh Tuyên Quang,Xã Đồng Yên,Tuyên Quang,Đồng Yên,Xã,8,22.4897,105.099,1216,22.225,104.786,79.36
Tỉnh Tuyên Quang,Xã Tiên Nguyên,Tuyên Quang,Tiên Nguyên,Xã,8,22.4897,105.099,1225,22.4944,104.671,90.13
