address,wardLat,wardLon,wardBounds,wardFormattedAddress
"Xã Vũ Dũng, Huyện Kim Thành, Tỉnh Hải Dương",20.932973,106.499489,"20.850783,106.387612 – 21.003395,106.552344","Kim Thành District, Hai Duong, Vietnam"
"Xã Cự Khê, Huyện Thanh Oai, Thành phố Hà Nội",20.920772,105.779834,"20.89917,105.76876 – 20.940278,105.799702","Cự Khê, Thanh Oai, Hanoi, Vietnam"
"Xã Long Phú, Huyện Long Phú, Tỉnh Sóc Trăng",9.573429,106.12281,"9.541589,106.063299 – 9.612725,106.180394","Long Phú, Sóc Trăng, Vietnam"
"Xã Kim Thư, Huyện Thanh Oai, Thành phố Hà Nội",20.838549,105.767394,"20.831645,105.752214 – 20.846951,105.78185","Kim Thư, Thanh Oai, Hà Nội, Vietnam"
"Xã Thạnh Quới, Huyện Mỹ Xuyên, Tỉnh Sóc Trăng",9.432446,105.799677,"9.400256,105.753484 – 9.469921,105.846278","Thạnh Qưới, Mỹ Xuyên, Sóc Trăng, Vietnam"
"Xã Tân Thạnh, Huyện Long Phú, Tỉnh Sóc Trăng",9.621597,106.12869,"9.589123,106.09697 – 9.656259,106.159364","Tân Thạnh, Long Phú District, Soc Trang, Vietnam"
"Xã Tân Long, Thị xã Ngã Năm, Tỉnh Sóc Trăng",9.525031,105.658849,"9.48953,105.616636 – 9.582004,105.705257","Tân Long, tx. Ngã Năm, Sóc Trăng, Vietnam"
"Xã Long Bình, Thị xã Ngã Năm, Tỉnh Sóc Trăng",9.536882,105.635388,"9.49444,105.600243 – 9.568505,105.662041","Long Bình, tx. Ngã Năm, Sóc Trăng, Vietnam"
"Xã Tân Tiến, Huyện Chương Mỹ, Thành phố Hà Nội",20.874459,105.600202,"20.83521,105.583055 – 20.895822,105.633588","Tân Tiến, Chương Mỹ, Hà Nội, Vietnam"
"Xã Ninh Sở, Huyện Thường Tín, Thành phố Hà Nội",20.897006,105.884813,"20.883142,105.8746 – 20.912239,105.899856","Ninh Sở, Hà Nội, Vietnam"
"Xã Lam Điền, Huyện Chương Mỹ, Thành phố Hà Nội",20.886701,105.717514,"20.872957,105.700504 – 20.898689,105.739353","Lam Điền, Chương Mỹ, Hà Nội, Vietnam"
"Xã Tô Hiệu, Huyện Thường Tín, Thành phố Hà Nội",20.803758,105.890686,"20.7901,105.872412 – 20.817019,105.901551","Tô Hiệu, Thường Tín, Hà Nội, Vietnam"
"Xã Phú Tân, Huyện Châu Thành, Tỉnh Sóc Trăng",9.67308,105.952362,"9.641792,105.909426 – 9.709649,105.987532","Phú Tân, Tp. Sóc Trăng, Sóc Trăng, Vietnam"
"Xã Thuận Hưng, Huyện Mỹ Tú, Tỉnh Sóc Trăng",9.585589,105.864259,"9.553584,105.811834 – 9.628474,105.90281","Thuận Hưng, My Tu, Soc Trang, Vietnam"
"Xã Vạn Nhất, Huyện Thường Tín, Thành phố Hà Nội",20.794698,105.911424,"20.770212,105.896415 – 20.821703,105.922942","Vạn Nhất, Thường Tín, Hanoi, Vietnam"
"Xã Phú Hữu, Huyện Long Phú, Tỉnh Sóc Trăng",9.689616,106.05814,"9.655542,106.029417 – 9.709205,106.069887","Phú Hữu, Tp. Sóc Trăng, Sóc Trăng, Vietnam"
"Xã Khánh Hà, Huyện Thường Tín, Thành phố Hà Nội",20.890974,105.826094,"20.882521,105.812625 – 20.903409,105.837361","Khánh Hà, Thường Tín, Hà Nội, Vietnam"
"Xã Duyên Thái, Huyện Thường Tín, Thành phố Hà Nội",20.898676,105.867195,"20.888535,105.85354 – 20.909082,105.879493","Duyên Thái, Thường Tín, Hà Nội, Vietnam"
"Xã Hạ Bằng, Huyện Thạch Thất, Thành phố Hà Nội",21.001666,105.557696,"20.997102,105.551491 – 21.005836,105.561104","Hạ Bằng, Thạch Thất, Hanoi, Vietnam"
"Xã Long Phú, Thị xã Long Mỹ, Tỉnh Hậu Giang",9.669597,105.565024,"9.6511,105.54677 – 9.695774,105.592861","Long Mỹ, Long Mỹ District, Hau Giang, Vietnam"
"Xã Vân Côn, Huyện Hoài Đức, Thành phố Hà Nội",20.991737,105.679379,"20.969254,105.663114 – 21.009843,105.69603","Vân Côn, Hoài Đức, Hà Nội, Vietnam"
"Xã Phượng Sơn, Huyện Quốc Oai, Thành phố Hà Nội",21.007485,105.66174,"20.98104,105.635165 – 21.024461,105.677341","Phượng Sơn, Quốc Oai, Hanoi, Vietnam"
"Thị trấn Quốc Oai, Huyện Quốc Oai, Thành phố Hà Nội",20.995037,105.644185,"20.982518,105.627322 – 21.009883,105.664916","tt. Quốc Oai, Quốc Oai, Hà Nội, Vietnam"
"Xã La Phù, Huyện Hoài Đức, Thành phố Hà Nội",20.979915,105.732558,"20.96693,105.721521 – 20.991373,105.741649","La Phù, Hoài Đức, Hà Nội, Vietnam"
"Xã An Thượng, Huyện Hoài Đức, Thành phố Hà Nội",20.989532,105.702846,"20.973161,105.676951 – 21.006885,105.715091","An Thượng, Hoài Đức District, Hanoi, Vietnam"
"Xã Ngọc Liệp, Huyện Quốc Oai, Thành phố Hà Nội",20.993625,105.597271,"20.984174,105.579129 – 21.010774,105.616852","Ngọc Liệp, Quốc Oai, Hanoi, Vietnam"
"Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội",20.999471,105.720448,"20.978551,105.706158 – 21.02098,105.73564","An Khánh, Hoài Đức, Hà Nội, Vietnam"
"Xã Song Phương, Huyện Hoài Đức, Thành phố Hà Nội",21.013827,105.691112,"20.999907,105.673199 – 21.030954,105.712509","Song Phương, Hoài Đức, Hà Nội, Vietnam"
"Xã Thạch Hòa, Huyện Thạch Thất, Thành phố Hà Nội",20.998611,105.522507,"20.971834,105.471038 – 21.039361,105.54971","Thạch Hòa, Thạch Thất, Hanoi, Vietnam"
"Xã Quang Trung, Huyện Thạch Thất, Thành phố Hà Nội",21.023565,105.611546,"21.002336,105.593313 – 21.037268,105.627477","Quang Trung, Thạch Thất, Hanoi, Vietnam"
"Xã Tân Xã, Huyện Thạch Thất, Thành phố Hà Nội",21.02777,105.557696,"21.022262,105.551834 – 21.030914,105.563164","Tân Xã, Thạch Thất, Hà Nội, Vietnam"
"Xã Bình Yên, Huyện Thạch Thất, Thành phố Hà Nội",21.042326,105.541576,"21.023788,105.512491 – 21.056191,105.566868","Bình Yên, Thạch Thất, Hanoi, Vietnam"
"Xã Ngọc Mỹ, Huyện Quốc Oai, Thành phố Hà Nội",20.991433,105.620726,"20.968989,105.611384 – 21.007371,105.634724","Ngọc Mỹ, Quốc Oai, Hanoi, Vietnam"
"Xã Tiến Xuân, Huyện Thạch Thất, Thành phố Hà Nội",20.966544,105.482968,"20.945088,105.441113 – 21.004394,105.504026","Tiến Xuân, Thạch Thất, Hà Nội, Vietnam"
"Xã Phú Cát, Huyện Quốc Oai, Thành phố Hà Nội",20.971621,105.553299,"20.954787,105.526857 – 20.990972,105.582647","Phú Cát, Quốc Oai, Hà Nội, Vietnam"
"Xã Thạnh Quới, Huyện Vĩnh Thạnh, Thành phố Cần Thơ",10.215303,105.371668,"10.163729,105.33702 – 10.24797,105.414237","Thạnh Quới, Vĩnh Thạnh, Cần Thơ, Vietnam"
"Xã Chà Là, Huyện Dương Minh Châu, Tỉnh Tây Ninh",11.308012,106.216914,"11.253444,106.177292 – 11.328217,106.251043","Chà Là, Dương Minh Châu District, Tây Ninh, Vietnam"
"Xã Phước Minh, Huyện Dương Minh Châu, Tỉnh Tây Ninh",11.302731,106.311062,"11.269663,106.278091 – 11.426187,106.366539","Phước Minh, Dương Minh Châu District, Tây Ninh, Vietnam"
"Xã Việt Lâm, Huyện Vị Xuyên, Tỉnh Hà Giang",22.656306,104.933045,"22.587703,104.899864 – 22.705493,104.959002","Việt Lâm, Vị Xuyên, Hà Giang, Vietnam"
"Xã Phan, Huyện Dương Minh Châu, Tỉnh Tây Ninh",11.355186,106.188268,"11.343633,106.184561 – 11.367464,106.193384","xã Phan - núi Bà, Phan, Dương Minh Châu, Tây Ninh, Vietnam"
"Xã Yên Định, Huyện Bắc Mê, Tỉnh Hà Giang",22.807514,105.114201,"22.750301,105.049553 – 22.842325,105.170574","Yên Định, Hà Giang, Vietnam"
"Xã Suối Đá, Huyện Dương Minh Châu, Tỉnh Tây Ninh",11.43847,106.240447,"11.346732,106.179075 – 11.470358,106.283484","Suối Đá, Dương Minh Châu District, Tây Ninh, Vietnam"
"Xã Tân Phú, Huyện Tân Châu, Tỉnh Tây Ninh",11.509769,106.146332,"11.47666,106.112952 – 11.531876,106.198826","Tân Phú, Tân Châu, Tây Ninh, Vietnam"
"Phường Văn Đức, Thành phố Chí Linh, Tỉnh Hải Dương",21.09549,106.434698,"21.062519,106.40539 – 21.121911,106.454979","Văn Đức, Chí Linh District, Hai Duong, Vietnam"
"Phường Long Tuyền, Quận Bình Thủy, Thành phố Cần Thơ",10.029751,105.729249,"10.003566,105.7031 – 10.047754,105.745855","Long Tuyền, Bình Thủy, Cần Thơ, Vietnam"
"Xã Thượng Quận, Thị xã Kinh Môn, Tỉnh Hải Dương",20.994546,106.490653,"20.974084,106.471061 – 21.012354,106.507932","Thượng Quận, Kinh Môn, Hai Duong, Vietnam"
"Xã Liên Hòa, Thị xã Quảng Yên, Tỉnh Quảng Ninh",20.878324,106.844388,"20.851914,106.821699 – 20.902156,106.899719","Liên Hòa, Tx. Quảng Yên, Quảng Ninh, Vietnam"
"Phường Bùi Hữu Nghĩa, Quận Bình Thủy, Thành phố Cần Thơ",10.079978,105.755656,"10.054135,105.728044 – 10.0996,105.781045","Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ, Vietnam"
"Xã Thái Bình, Huyện Châu Thành, Tỉnh Tây Ninh",11.344962,106.046384,"11.314685,106.014697 – 11.368518,106.079447","Thái Bình, Châu Thành District, Tây Ninh, Vietnam"
"Xã Cộng Hòa, Huyện Nam Sách, Tỉnh Hải Dương",21.007611,106.38759,"20.986717,106.374157 – 21.024611,106.410583","Cộng Hòa, Nam Sách District, Hai Duong, Vietnam"
"Phường Thốt Nốt, Quận Thốt Nốt, Thành phố Cần Thơ",10.272502,105.530263,"10.260322,105.496431 – 10.283779,105.543981","Thốt Nốt, Cần Thơ, Vietnam"
"Xã Suối Dây, Huyện Tân Châu, Tỉnh Tây Ninh",11.549765,106.216914,"11.469091,106.183206 – 11.634454,106.264373","Suối Dây, Tân Châu District, Tây Ninh, Vietnam"
"Xã Đồng Tâm, Huyện Mỹ Đức, Thành phố Hà Nội",20.806753,105.673513,"20.78986,105.648823 – 20.815575,105.698862","Đồng Tâm, Mỹ Đức, Hanoi, Vietnam"
"Xã Kỳ Lợi, Thị xã Kỳ Anh, Tỉnh Hà Tĩnh",18.089638,106.408198,"18.0566,106.356969 – 18.125909,106.435504","Kỳ Lợi, Kỳ Anh, Hà Tĩnh, Vietnam"
"Xã Phú Tân, Huyện Châu Thành, Tỉnh Hậu Giang",9.67308,105.952362,"9.641792,105.909426 – 9.709649,105.987532","Phú Tân, Tp. Sóc Trăng, Sóc Trăng, Vietnam"
"Xã Tân Long, Huyện Phụng Hiệp, Tỉnh Hậu Giang",9.855364,105.752722,"9.82215,105.717316 – 9.885658,105.790615","Tân Long, Ngã Bảy, Hậu Giang, Vietnam"
"Phường Quang Trung, Thành phố Hà Giang, Tỉnh Hà Giang",22.836987,104.977697,"22.830499,104.955525 – 22.868228,105.015221","Quang Trung, Hà Giang, Vietnam"
"Xã Phú Hữu, Huyện Châu Thành, Tỉnh Hậu Giang",9.910655,105.840772,"9.866167,105.815689 – 9.946828,105.874407","Phú Hữu, Châu Thành, Hậu Giang, Vietnam"
"Xã Thuận Hưng, Huyện Long Mỹ, Tỉnh Hậu Giang",9.660954,105.51813,"9.641039,105.489047 – 9.686926,105.559854","Thuận Hưng, Long Mỹ District, Hau Giang, Vietnam"
"Xã Long Bình, Thị xã Long Mỹ, Tỉnh Hậu Giang",9.669597,105.565024,"9.6511,105.54677 – 9.695774,105.592861","Long Mỹ, Long Mỹ District, Hau Giang, Vietnam"
"Phường Trần Phú, Thành phố Hải Dương, Tỉnh Hải Dương",20.934653,106.327984,"20.929556,106.324847 – 20.939236,106.342249","Trần Phú, Hải Dương, Hai Duong, Vietnam"
