provinceCode,isMergedProvince,districtCode,districtType,wardCode,wardType,isMergedWard,isDividedWard,province,district,ward,newProvince,newWard,newProvinceCode,newWardCode,newWardType,newWardLat,newWardLon,newWardAreaKm2
1,False,6,Quận,181.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Văn Miếu Quốc Tử Giám,Thủ đô Hà Nội,Ô Chợ Dừa,1,64.0,phường,21.0243,105.826,1.83
1,False,6,Quận,181.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Văn Miếu Quốc Tử Giám,Thủ đô Hà Nội,Văn Miếu - Quốc Tử Giám,1,113.0,phường,21.0199,105.837,1.92
1,False,6,Quận,187.0,Phường,True,False,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Thượng,Thủ đô Hà Nội,Láng,1,52.0,phường,21.0211,105.806,1.88
1,False,6,Quận,190.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Thủ đô Hà Nội,Đống Đa,1,25.0,phường,21.0119,105.822,2.07
1,False,6,Quận,190.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Thủ đô Hà Nội,Ô Chợ Dừa,1,64.0,phường,21.0243,105.826,1.83
1,False,6,Quận,193.0,Phường,True,False,Thành phố Hà Nội,Quận Đống Đa,Phường Văn Chương,Thủ đô Hà Nội,Văn Miếu - Quốc Tử Giám,1,113.0,phường,21.0199,105.837,1.92
1,False,6,Quận,196.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Hàng Bột,Thủ đô Hà Nội,Ô Chợ Dừa,1,64.0,phường,21.0243,105.826,1.83
1,False,6,Quận,196.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Hàng Bột,Thủ đô Hà Nội,Văn Miếu - Quốc Tử Giám,1,113.0,phường,21.0199,105.837,1.92
1,False,6,Quận,199.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Hạ,Thủ đô Hà Nội,Đống Đa,1,25.0,phường,21.0119,105.822,2.07
1,False,6,Quận,199.0,Phường,True,True,Thành phố Hà Nội,Quận Đống Đa,Phường Láng Hạ,Thủ đô Hà Nội,Giảng Võ,1,30.0,phường,21.0275,105.814,2.6
